serial:  1 cards:  J3J9J 	type:   	hand_value:  1 rank_card_on_index:  [ 1, 3, 1, 9, 1 ] card_count:  { '3': 1, '9': 1 } bid:  552
serial:  31 cards:  4TJQJ 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 10, 1, 12, 1 ] card_count:  { '4': 1, Q: 1, T: 1 } bid:  94
serial:  32 cards:  4QA89 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 12, 14, 8, 9 ] card_count:  { '4': 1, '8': 1, '9': 1, A: 1, Q: 1 } bid:  990
serial:  33 cards:  4K6QT 	type:   	hand_value:  4 rank_card_on_index:  [ 4, 13, 6, 12, 10 ] card_count:  { '4': 1, '6': 1, T: 1, Q: 1, K: 1 } bid:  805
serial:  34 cards:  5JJK7 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 1, 1, 13, 7 ] card_count:  { '5': 1, '7': 1, K: 1 } bid:  227
serial:  35 cards:  52K68 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 2, 13, 6, 8 ] card_count:  { '2': 1, '5': 1, '6': 1, '8': 1, K: 1 } bid:  750
serial:  36 cards:  54JJJ 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 4, 1, 1, 1 ] card_count:  { '4': 1, '5': 1 } bid:  776
serial:  37 cards:  59473 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 9, 4, 7, 3 ] card_count:  { '3': 1, '4': 1, '5': 1, '7': 1, '9': 1 } bid:  57
serial:  38 cards:  597JJ 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 9, 7, 1, 1 ] card_count:  { '5': 1, '7': 1, '9': 1 } bid:  480
serial:  39 cards:  59826 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 9, 8, 2, 6 ] card_count:  { '2': 1, '5': 1, '6': 1, '8': 1, '9': 1 } bid:  120
serial:  40 cards:  5T684 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 10, 6, 8, 4 ] card_count:  { '4': 1, '5': 1, '6': 1, '8': 1, T: 1 } bid:  594
serial:  41 cards:  5T8K2 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 10, 8, 13, 2 ] card_count:  { '2': 1, '5': 1, '8': 1, K: 1, T: 1 } bid:  370
serial:  42 cards:  5Q98A 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 12, 9, 8, 14 ] card_count:  { '5': 1, '8': 1, '9': 1, A: 1, Q: 1 } bid:  157
serial:  43 cards:  5QK98 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 12, 13, 9, 8 ] card_count:  { '5': 1, '8': 1, '9': 1, K: 1, Q: 1 } bid:  39
serial:  44 cards:  5K39A 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 13, 3, 9, 14 ] card_count:  { '3': 1, '5': 1, '9': 1, A: 1, K: 1 } bid:  169
serial:  45 cards:  5A9K6 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 14, 9, 13, 6 ] card_count:  { '5': 1, '6': 1, '9': 1, K: 1, A: 1 } bid:  123
serial:  46 cards:  5AQK8 	type:   	hand_value:  5 rank_card_on_index:  [ 5, 14, 12, 13, 8 ] card_count:  { '5': 1, '8': 1, K: 1, Q: 1, A: 1 } bid:  973
serial:  47 cards:  62359 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 2, 3, 5, 9 ] card_count:  { '2': 1, '3': 1, '5': 1, '6': 1, '9': 1 } bid:  179
serial:  48 cards:  6235A 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 2, 3, 5, 14 ] card_count:  { '2': 1, '3': 1, '5': 1, '6': 1, A: 1 } bid:  193
serial:  49 cards:  627Q8 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 2, 7, 12, 8 ] card_count:  { '2': 1, '6': 1, '7': 1, '8': 1, Q: 1 } bid:  917
serial:  50 cards:  62K97 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 2, 13, 9, 7 ] card_count:  { '2': 1, '6': 1, '7': 1, '9': 1, K: 1 } bid:  760
serial:  51 cards:  62A5K 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 2, 14, 5, 13 ] card_count:  { '2': 1, '5': 1, '6': 1, K: 1, A: 1 } bid:  326
serial:  52 cards:  63TA5 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 3, 10, 14, 5 ] card_count:  { '3': 1, '5': 1, '6': 1, A: 1, T: 1 } bid:  645
serial:  53 cards:  64379 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 4, 3, 7, 9 ] card_count:  { '3': 1, '4': 1, '6': 1, '7': 1, '9': 1 } bid:  383
serial:  54 cards:  65TA8 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 5, 10, 14, 8 ] card_count:  { '5': 1, '6': 1, '8': 1, A: 1, T: 1 } bid:  421
serial:  55 cards:  65A78 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 5, 14, 7, 8 ] card_count:  { '5': 1, '6': 1, '7': 1, '8': 1, A: 1 } bid:  831
serial:  56 cards:  67A5T 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 7, 14, 5, 10 ] card_count:  { '5': 1, '6': 1, '7': 1, T: 1, A: 1 } bid:  248
serial:  57 cards:  68T47 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 8, 10, 4, 7 ] card_count:  { '4': 1, '6': 1, '7': 1, '8': 1, T: 1 } bid:  567
serial:  58 cards:  6T359 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 10, 3, 5, 9 ] card_count:  { '3': 1, '5': 1, '6': 1, '9': 1, T: 1 } bid:  466
serial:  59 cards:  6A542 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 14, 5, 4, 2 ] card_count:  { '2': 1, '4': 1, '5': 1, '6': 1, A: 1 } bid:  889
serial:  60 cards:  6AKT5 	type:   	hand_value:  6 rank_card_on_index:  [ 6, 14, 13, 10, 5 ] card_count:  { '5': 1, '6': 1, T: 1, K: 1, A: 1 } bid:  294
serial:  61 cards:  7JJ49 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 1, 1, 4, 9 ] card_count:  { '4': 1, '7': 1, '9': 1 } bid:  82
serial:  62 cards:  72A59 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 2, 14, 5, 9 ] card_count:  { '2': 1, '5': 1, '7': 1, '9': 1, A: 1 } bid:  205
serial:  63 cards:  74Q6A 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 4, 12, 6, 14 ] card_count:  { '4': 1, '6': 1, '7': 1, A: 1, Q: 1 } bid:  221
serial:  64 cards:  75J4J 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 5, 1, 4, 1 ] card_count:  { '4': 1, '5': 1, '7': 1 } bid:  491
serial:  65 cards:  75J8J 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 5, 1, 8, 1 ] card_count:  { '5': 1, '7': 1, '8': 1 } bid:  639
serial:  66 cards:  768K3 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 6, 8, 13, 3 ] card_count:  { '3': 1, '6': 1, '7': 1, '8': 1, K: 1 } bid:  488
serial:  67 cards:  7T298 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 10, 2, 9, 8 ] card_count:  { '2': 1, '7': 1, '8': 1, '9': 1, T: 1 } bid:  170
serial:  68 cards:  7K485 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 13, 4, 8, 5 ] card_count:  { '4': 1, '5': 1, '7': 1, '8': 1, K: 1 } bid:  648
serial:  69 cards:  7A652 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 14, 6, 5, 2 ] card_count:  { '2': 1, '5': 1, '6': 1, '7': 1, A: 1 } bid:  25
serial:  70 cards:  7A69T 	type:   	hand_value:  7 rank_card_on_index:  [ 7, 14, 6, 9, 10 ] card_count:  { '6': 1, '7': 1, '9': 1, T: 1, A: 1 } bid:  746
serial:  71 cards:  8JJJJ 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 1, 1, 1, 1 ] card_count:  { '8': 1 } bid:  159
serial:  72 cards:  8J26J 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 1, 2, 6, 1 ] card_count:  { '2': 1, '6': 1, '8': 1 } bid:  21
serial:  73 cards:  827A5 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 2, 7, 14, 5 ] card_count:  { '2': 1, '5': 1, '7': 1, '8': 1, A: 1 } bid:  614
serial:  74 cards:  83T62 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 3, 10, 6, 2 ] card_count:  { '2': 1, '3': 1, '6': 1, '8': 1, T: 1 } bid:  712
serial:  75 cards:  842K3 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 4, 2, 13, 3 ] card_count:  { '2': 1, '3': 1, '4': 1, '8': 1, K: 1 } bid:  596
serial:  76 cards:  8632K 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 6, 3, 2, 13 ] card_count:  { '2': 1, '3': 1, '6': 1, '8': 1, K: 1 } bid:  452
serial:  77 cards:  867A3 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 6, 7, 14, 3 ] card_count:  { '3': 1, '6': 1, '7': 1, '8': 1, A: 1 } bid:  117
serial:  78 cards:  86K42 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 6, 13, 4, 2 ] card_count:  { '2': 1, '4': 1, '6': 1, '8': 1, K: 1 } bid:  215
serial:  79 cards:  87923 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 7, 9, 2, 3 ] card_count:  { '2': 1, '3': 1, '7': 1, '8': 1, '9': 1 } bid:  497
serial:  80 cards:  87Q42 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 7, 12, 4, 2 ] card_count:  { '2': 1, '4': 1, '7': 1, '8': 1, Q: 1 } bid:  527
serial:  81 cards:  8932K 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 9, 3, 2, 13 ] card_count:  { '2': 1, '3': 1, '8': 1, '9': 1, K: 1 } bid:  222
serial:  82 cards:  8TJJ7 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 10, 1, 1, 7 ] card_count:  { '7': 1, '8': 1, T: 1 } bid:  165
serial:  83 cards:  8T6Q7 	type:   	hand_value:  8 rank_card_on_index:  [ 8, 10, 6, 12, 7 ] card_count:  { '6': 1, '7': 1, '8': 1, Q: 1, T: 1 } bid:  434
serial:  84 cards:  924KA 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 2, 4, 13, 14 ] card_count:  { '2': 1, '4': 1, '9': 1, A: 1, K: 1 } bid:  292
serial:  85 cards:  93524 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 3, 5, 2, 4 ] card_count:  { '2': 1, '3': 1, '4': 1, '5': 1, '9': 1 } bid:  956
serial:  86 cards:  96KT2 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 6, 13, 10, 2 ] card_count:  { '2': 1, '6': 1, '9': 1, T: 1, K: 1 } bid:  109
serial:  87 cards:  97Q5A 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 7, 12, 5, 14 ] card_count:  { '5': 1, '7': 1, '9': 1, A: 1, Q: 1 } bid:  178
serial:  88 cards:  9854K 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 8, 5, 4, 13 ] card_count:  { '4': 1, '5': 1, '8': 1, '9': 1, K: 1 } bid:  20
serial:  89 cards:  98KA2 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 8, 13, 14, 2 ] card_count:  { '2': 1, '8': 1, '9': 1, A: 1, K: 1 } bid:  372
serial:  90 cards:  9Q524 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 12, 5, 2, 4 ] card_count:  { '2': 1, '4': 1, '5': 1, '9': 1, Q: 1 } bid:  166
serial:  91 cards:  9Q65K 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 12, 6, 5, 13 ] card_count:  { '5': 1, '6': 1, '9': 1, K: 1, Q: 1 } bid:  532
serial:  92 cards:  9K75A 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 13, 7, 5, 14 ] card_count:  { '5': 1, '7': 1, '9': 1, A: 1, K: 1 } bid:  873
serial:  93 cards:  9KQ43 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 13, 12, 4, 3 ] card_count:  { '3': 1, '4': 1, '9': 1, Q: 1, K: 1 } bid:  477
serial:  94 cards:  9A34Q 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 14, 3, 4, 12 ] card_count:  { '3': 1, '4': 1, '9': 1, Q: 1, A: 1 } bid:  382
serial:  95 cards:  9AKQT 	type:   	hand_value:  9 rank_card_on_index:  [ 9, 14, 13, 12, 10 ] card_count:  { '9': 1, T: 1, Q: 1, K: 1, A: 1 } bid:  451
serial:  96 cards:  T293Q 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 2, 9, 3, 12 ] card_count:  { '2': 1, '3': 1, '9': 1, Q: 1, T: 1 } bid:  796
serial:  97 cards:  T439K 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 4, 3, 9, 13 ] card_count:  { '3': 1, '4': 1, '9': 1, K: 1, T: 1 } bid:  272
serial:  98 cards:  T5628 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 5, 6, 2, 8 ] card_count:  { '2': 1, '5': 1, '6': 1, '8': 1, T: 1 } bid:  151
serial:  99 cards:  T579A 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 5, 7, 9, 14 ] card_count:  { '5': 1, '7': 1, '9': 1, A: 1, T: 1 } bid:  317
serial:  100 cards:  T58KA 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 5, 8, 13, 14 ] card_count:  { '5': 1, '8': 1, A: 1, K: 1, T: 1 } bid:  73
serial:  101 cards:  T59AQ 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 5, 9, 14, 12 ] card_count:  { '5': 1, '9': 1, Q: 1, A: 1, T: 1 } bid:  136
serial:  102 cards:  T6253 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 6, 2, 5, 3 ] card_count:  { '2': 1, '3': 1, '5': 1, '6': 1, T: 1 } bid:  768
serial:  103 cards:  T6587 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 6, 5, 8, 7 ] card_count:  { '5': 1, '6': 1, '7': 1, '8': 1, T: 1 } bid:  612
serial:  104 cards:  T785K 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 7, 8, 5, 13 ] card_count:  { '5': 1, '7': 1, '8': 1, K: 1, T: 1 } bid:  865
serial:  105 cards:  T79Q8 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 7, 9, 12, 8 ] card_count:  { '7': 1, '8': 1, '9': 1, Q: 1, T: 1 } bid:  208
serial:  106 cards:  T843K 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 8, 4, 3, 13 ] card_count:  { '3': 1, '4': 1, '8': 1, K: 1, T: 1 } bid:  600
serial:  107 cards:  T8A36 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 8, 14, 3, 6 ] card_count:  { '3': 1, '6': 1, '8': 1, A: 1, T: 1 } bid:  237
serial:  108 cards:  T923K 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 9, 2, 3, 13 ] card_count:  { '2': 1, '3': 1, '9': 1, K: 1, T: 1 } bid:  512
serial:  109 cards:  T9736 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 9, 7, 3, 6 ] card_count:  { '3': 1, '6': 1, '7': 1, '9': 1, T: 1 } bid:  121
serial:  110 cards:  TQK85 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 12, 13, 8, 5 ] card_count:  { '5': 1, '8': 1, K: 1, Q: 1, T: 1 } bid:  316
serial:  111 cards:  TKAQ5 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 13, 14, 12, 5 ] card_count:  { '5': 1, Q: 1, A: 1, K: 1, T: 1 } bid:  819
serial:  112 cards:  TA549 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 14, 5, 4, 9 ] card_count:  { '4': 1, '5': 1, '9': 1, A: 1, T: 1 } bid:  155
serial:  113 cards:  TA7K4 	type:   	hand_value:  10 rank_card_on_index:  [ 10, 14, 7, 13, 4 ] card_count:  { '4': 1, '7': 1, K: 1, A: 1, T: 1 } bid:  364
serial:  114 cards:  Q359T 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 3, 5, 9, 10 ] card_count:  { '3': 1, '5': 1, '9': 1, T: 1, Q: 1 } bid:  436
serial:  115 cards:  Q365T 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 3, 6, 5, 10 ] card_count:  { '3': 1, '5': 1, '6': 1, T: 1, Q: 1 } bid:  462
serial:  116 cards:  Q4265 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 4, 2, 6, 5 ] card_count:  { '2': 1, '4': 1, '5': 1, '6': 1, Q: 1 } bid:  146
serial:  117 cards:  Q47K8 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 4, 7, 13, 8 ] card_count:  { '4': 1, '7': 1, '8': 1, K: 1, Q: 1 } bid:  624
serial:  118 cards:  Q5T46 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 5, 10, 4, 6 ] card_count:  { '4': 1, '5': 1, '6': 1, T: 1, Q: 1 } bid:  440
serial:  119 cards:  Q6849 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 6, 8, 4, 9 ] card_count:  { '4': 1, '6': 1, '8': 1, '9': 1, Q: 1 } bid:  571
serial:  120 cards:  Q9JJ8 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 9, 1, 1, 8 ] card_count:  { '8': 1, '9': 1, Q: 1 } bid:  813
serial:  121 cards:  Q9TA6 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 9, 10, 14, 6 ] card_count:  { '6': 1, '9': 1, A: 1, T: 1, Q: 1 } bid:  291
serial:  122 cards:  QT398 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 10, 3, 9, 8 ] card_count:  { '3': 1, '8': 1, '9': 1, T: 1, Q: 1 } bid:  866
serial:  123 cards:  QT89A 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 10, 8, 9, 14 ] card_count:  { '8': 1, '9': 1, A: 1, T: 1, Q: 1 } bid:  713
serial:  124 cards:  QT967 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 10, 9, 6, 7 ] card_count:  { '6': 1, '7': 1, '9': 1, T: 1, Q: 1 } bid:  493
serial:  125 cards:  QK849 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 13, 8, 4, 9 ] card_count:  { '4': 1, '8': 1, '9': 1, K: 1, Q: 1 } bid:  793
serial:  126 cards:  QA4K9 	type:   	hand_value:  12 rank_card_on_index:  [ 12, 14, 4, 13, 9 ] card_count:  { '4': 1, '9': 1, K: 1, A: 1, Q: 1 } bid:  622
serial:  127 cards:  KJJ6J 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 1, 1, 6, 1 ] card_count:  { '6': 1, K: 1 } bid:  61
serial:  128 cards:  KJJ63 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 1, 1, 6, 3 ] card_count:  { '3': 1, '6': 1, K: 1 } bid:  478
serial:  129 cards:  K274T 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 2, 7, 4, 10 ] card_count:  { '2': 1, '4': 1, '7': 1, T: 1, K: 1 } bid:  671
serial:  130 cards:  K2QA9 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 2, 12, 14, 9 ] card_count:  { '2': 1, '9': 1, A: 1, Q: 1, K: 1 } bid:  902
serial:  131 cards:  K3TQ4 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 3, 10, 12, 4 ] card_count:  { '3': 1, '4': 1, Q: 1, T: 1, K: 1 } bid:  581
serial:  132 cards:  K4982 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 4, 9, 8, 2 ] card_count:  { '2': 1, '4': 1, '8': 1, '9': 1, K: 1 } bid:  279
serial:  133 cards:  K4T28 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 4, 10, 2, 8 ] card_count:  { '2': 1, '4': 1, '8': 1, T: 1, K: 1 } bid:  141
serial:  134 cards:  K6Q49 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 6, 12, 4, 9 ] card_count:  { '4': 1, '6': 1, '9': 1, Q: 1, K: 1 } bid:  268
serial:  135 cards:  K86A4 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 8, 6, 14, 4 ] card_count:  { '4': 1, '6': 1, '8': 1, A: 1, K: 1 } bid:  373
serial:  136 cards:  KA74Q 	type:   	hand_value:  13 rank_card_on_index:  [ 13, 14, 7, 4, 12 ] card_count:  { '4': 1, '7': 1, Q: 1, A: 1, K: 1 } bid:  687
serial:  137 cards:  A25T4 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 2, 5, 10, 4 ] card_count:  { '2': 1, '4': 1, '5': 1, T: 1, A: 1 } bid:  880
serial:  138 cards:  A26Q7 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 2, 6, 12, 7 ] card_count:  { '2': 1, '6': 1, '7': 1, Q: 1, A: 1 } bid:  666
serial:  139 cards:  A3K86 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 3, 13, 8, 6 ] card_count:  { '3': 1, '6': 1, '8': 1, K: 1, A: 1 } bid:  259
serial:  140 cards:  A4T9Q 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 4, 10, 9, 12 ] card_count:  { '4': 1, '9': 1, Q: 1, T: 1, A: 1 } bid:  692
serial:  141 cards:  A5238 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 5, 2, 3, 8 ] card_count:  { '2': 1, '3': 1, '5': 1, '8': 1, A: 1 } bid:  754
serial:  142 cards:  A59T6 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 5, 9, 10, 6 ] card_count:  { '5': 1, '6': 1, '9': 1, T: 1, A: 1 } bid:  707
serial:  143 cards:  A6972 	type:   	hand_value:  14 rank_card_on_index:  [ 14, 6, 9, 7, 2 ] card_count:  { '2': 1, '6': 1, '7': 1, '9': 1, A: 1 } bid:  841
